Entity1,Relationship,Entity2,Date,Money
Hokkaido,promote (verb: mention),Tohoku,n/a,n/a
FIT,promote (verb: introduce),FIP,n/a,n/a
approximately 3 billion USD,invest (verb: plan),450 billion,n/a,approximately 3 billion USD
Australia,agreement (verb: strengthen),the United States,October 2022,n/a
BW Ideol,established,Japan,n/a,n/a
wpd,established,Japan,n/a,n/a
Vector Renewables,established,Japan,n/a,n/a
Vena Energy,established,Japan,n/a,n/a
Van Oord,established,Japan,n/a,n/a
Equinor,established,Japan,n/a,n/a
Xodus Group,established,Japan,n/a,n/a
Vestas,established,Japan,n/a,n/a
RWE Renewables,established,Japan,n/a,n/a
Orsted,established,Japan,n/a,n/a
