Entity1,Relationship,Entity2,Date,Money
$8 trillion to,transition (verb: present),$11 trillion,annually,$8 trillion to
Indonesia,support (verb: increase),Nationally Determined Contribution,September 2022,n/a
the Just Energy Transition Partnership,transition (verb: establish),Indonesia,2022,n/a
JETP,share (verb: aim),Indonesia,2030,n/a
Indonesia,supply (verb: base),EV,n/a,n/a
Singapore,exports (verb: spur),PV,n/a,n/a
Indonesia,efforts (verb: plan),LS Cable & System,n/a,n/a
"26,000 EVs",transition (verb: participate),Indonesia,2030,"26,000 EVs"
"26,000 EVs",transition (verb: participate),Indonesia,2030,"26,000 EVs"
Efforts,Efforts (verb: map),the Ministry of Energy and Mineral Resources,n/a,n/a
Indonesia,support (verb: set),GHG,2030,n/a
