Entity1,Relationship,Entity2,Date,Money
Mekong,developing (verb: develop),Cambodia,n/a,n/a
Vietnam,cooperation (verb: locate),Mekong,n/a,n/a
China,shares (verb: seek),Mekong,n/a,n/a
China,financing (verb: build),Laos,n/a,n/a
China,cooperation (verb: establish),Lancang,2016,n/a
The ASEAN Power Grid,develop (verb: propose),ASEAN,n/a,n/a
Laos,developed (verb: develop),Cambodia,n/a,n/a
Thailand,partnered (verb: partner),China,n/a,n/a
China,funding (verb: say),MW,n/a,n/a
Japan,invest (verb: invest),South Korea,n/a,n/a
the United States’ Lower Mekong Initiative,sharing (verb: give),LMI,n/a,n/a
LMI,promote (verb: use),Vietnam,2009,n/a
LMI Ministerial Meeting,promoted (verb: push),the United States,2019,n/a
India,cooperation (verb: re),Mekong-Ganga,n/a,$1 billion
Australia,enhancing (verb: play),Morrison,n/a,n/a
Japan,partner (verb: seek),Thailand,n/a,n/a
Laos,transition (verb: drive),Cambodia,n/a,n/a
Mekong,collaboration (verb: indicate),Mekong,n/a,n/a
