Entity1,Relationship,Entity2,Date,Money
G20,transition (verb: host),Indonesia,Next week’s,n/a
Jakarta,transitions (verb: expect),the Just Energy Transition Partnership,n/a,multibillion-dollar
Indonesia,agreement (verb: include),South Africa,last year,n/a
The International Energy Agency,share (verb: estimate),China,the coming years,n/a
China,supply (verb: demonstrate),Japan,2010,n/a
Paris,agreement (verb: achieve),China,n/a,n/a
China,supplies (verb: grow),Russia,n/a,n/a
China,transition (verb: play),the Indo-Pacific,n/a,n/a
Australia,engage (verb: find),China,n/a,n/a
Washington,developing (verb: do),America,n/a,n/a
