Entity1,Relationship,Entity2,Date,Money
the United States,partners (verb: announce),Indo-Pacific,n/a,n/a
The United States,interests (verb: have),the Indo-Pacific region,n/a,n/a
America,partners (verb: view),U.S.,n/a,n/a
White House,partner (verb: list),U.S.,n/a,n/a
U.S.,interests (verb: argue),the Indo-Pacific,n/a,n/a
Trans-Pacific Partnership,agreement (verb: achieve),TPP,n/a,n/a
TPP,partners (verb: bring),the United States,n/a,n/a
the United States,agreement (verb: withdraw),U.S.,early 2017,n/a
the U.S.-Mexico-Canada Agreement,support (verb: believe),USMCA,2019,n/a
The White House’s,develop (verb: develop),IPEF,n/a,n/a
IPEF,interests (verb: hold),U.S.,n/a,n/a
U.S.,partners (verb: discuss),U.S.,n/a,n/a
U.S.,interests (verb: advance),IPEF,n/a,n/a
The United States,agreement (verb: win),TPP,n/a,n/a
U.S.,partners (verb: move),the Indo-Pacific,2020,n/a
U.S.,support (verb: propose),Indo-Pacific,n/a,n/a
the United States,agreement (verb: argue),Congress,n/a,n/a
America,agreement (verb: propose),Indo-Pacific,n/a,n/a
U.S.,interests (verb: advance),Indo-Pacific,n/a,n/a
IPEF,agreements (verb: ensure),APEC,n/a,n/a
U.S.,interests (verb: ensure),DEPA,n/a,n/a
IPEF,supply (verb: present),the United States,n/a,n/a
the United States,finance (verb: agree),Japan,n/a,n/a
The European Union,funds (verb: announce),$341 billion,n/a,$341 billion
Australia,enhancing (verb: mean),Indonesia,n/a,n/a
The United States,agreement (verb: lead),Indo-Pacific,n/a,n/a
WTO,partners (verb: take),Environmental Goods Agreement,n/a,n/a
U.S.,fund (verb: exist),B3W,n/a,n/a
USMCA,agreement (verb: accord),IPEF,n/a,n/a
Department of Labor,agreements (verb: seek),IPEF,n/a,n/a
APEC,enhance (verb: give),U.S.,2023,n/a
the United States,supply (verb: seek),IPEF,n/a,n/a
White House,partners (verb: state),IPEF,n/a,n/a
the United States,partners (verb: tell),IPEF,n/a,n/a
America,agreements (verb: believe),Indo-Pacific,n/a,n/a
U.S.,partners (verb: include),Japan,n/a,n/a
India,partners (verb: suggest),Bangladesh,n/a,n/a
the Association of Southeast Asian Nations,enhancing (verb: invite),ASEAN,its first year,n/a
Laos,developed (verb: develop),Cambodia,n/a,n/a
Taiwan,partners (verb: consult),Taipei,n/a,n/a
The CSIS Economics Program’s,supported (verb: support),the Indo-Pacific Economic Framework,n/a,n/a
