Name,Handle,Media URL,Retweets,Likes,Comments,Views,Tweet URL,Profile Link,Post Body,Date,Timestamp
Sabrina Balfour (Parody of a Tweep),@SpottyBalfour,,2,,1,,https://x.com/SpottyBalfour/status/1595556627750735872,https://x.com/SpottyBalfour,"What is the plan to deal with the consequences of 2-3°C of warming along with the loss 1/6 GDP and a big chunk of government revenue?

The answer, apparently, is that Australia will be a “renewable energy superpower” It is a meaningless slogan.  #auspol 

https://thenewdaily.com.au/finance/2022/11/24/climate-change-action-kohler/…","Nov 24, 2022",2022-11-23T23:15:18.000Z
Zali Steggall MP,@zalisteggall,,6,23,,1.5K,https://x.com/zalisteggall/status/1735094775764967827,https://x.com/zalisteggall,"Agree ⁦⁦⁦⁦@lottahanson⁩ methane pollution is one of the fastest & cheapest ways to curb global warming. Orgs can cut emissions at profit & new technologies make transparent, accurate & timely data available to all. Aust must keep up #auspol","Dec 14, 2023",2023-12-14T00:30:05.000Z
Geoffrey C E Brown,@gceb,,,,,,https://x.com/gceb/status/1543699946175574016,https://x.com/gceb,"Australia's hugely expensive “irreversible” transition to renewable energy plus massively expensive floods, fires and cyclones, amount to our renewable transition making no difference to global warming - all due to the US Supreme Court's partisan decision. https://thenewdaily.com.au/finance/2022/07/04/alan-kohler-australia-climate-change/…","Jul 4, 2022",2022-07-03T20:55:22.000Z
Just Collapse,@JustCollapse,,,1,,,https://x.com/JustCollapse/status/1544449635410132992,https://x.com/JustCollapse,"An economic double-whammy: 'A massively expensive “irreversible” transition to renewable energy plus massively expensive floods, fires and cyclones, because our renewable transition will make no difference to global warming.'
https://thenewdaily.com.au/finance/2022/07/04/alan-kohler-australia-climate-change/…","Jul 6, 2022",2022-07-05T22:34:22.000Z
Climate Realists,@ClimateRealists,,27,35,1,,https://x.com/ClimateRealists/status/1518109869613670400,https://x.com/ClimateRealists,Putin ‘colluded’ with green movements: Director of Global Warming Policy Foundation Benny Peiser says Russian President Vladimir Putin has “colluded” with green movements to tighten energy markets in Europe. | Sky News Australia,"Apr 24, 2022",2022-04-24T06:09:32.000Z
Climate and Energy Master UK,@ClimateEnergyUK,,,,,,https://x.com/ClimateEnergyUK/status/1536979239890739203,https://x.com/ClimateEnergyUK,"Global warming ‘isn’t the great threat we were told’

June 08, 2022 - 9:45PM

￼

Sky News host Australia says we have to hold the government “to account” over their “idiotic” energy policy.
As prices soar, blackouts loom a large
https://skynews.com.au/opinion/andrew-bolt/global-warming-isnt-the-great-threat-we-were-told/video/b06f67a2406a7516c58c8af9d5d12e00…","Jun 15, 2022",2022-06-15T07:49:41.000Z
UN Global Compact Network Australia (UNGCNA),@GlobalCompactAU,,,2,,,https://x.com/GlobalCompactAU/status/1541615872892178433,https://x.com/GlobalCompactAU,"“Frequency is only one aspect controlling the risks associated with tropical cyclones.” Dr Savin Chand, Senior Lecturer, @FedUniAustralia https://bit.ly/3QSjRA0 #globalwarming #climateaction #climatechange #sdgs #netzero #emissions","Jun 28, 2022",2022-06-28T02:54:00.000Z
Lock the Gate,@LockTheGate,,1,3,1,,https://x.com/LockTheGate/status/1509335458870079493,https://x.com/LockTheGate,"The climate crisis and its impacts can be overwhelming, but every now and then there is a glimmer of hope. 

""The report found that solar and wind power could grow fast enough to limit global warming to 1.5C above levels before industrialisation.""

https://9news.com.au/world/renewable-energy-australia-netherlands-vietnam-make-big-changes-as-wind-and-solar-make-record-10-per-cent-of-worlds-power/2fcc9d5b-61c9-4aa8-8c0c-114af7be4e4f…","Mar 31, 2022",2022-03-31T01:03:10.000Z
raynix,@raynix,,,,,,https://x.com/raynix/status/1451093312580964352,https://x.com/raynix,"Tell you what? In Australia entrepreneurs care more about people and politicians care more about money

https://afr.com/policy/energy-and-climate/mike-and-annie-cannon-brookes-pledge-1-5b-to-limit-global-warming-20211019-p591d7?utm_medium=social&utm_campaign=nc&utm_source=LinkedIn…","Oct 21, 2021",2021-10-21T07:49:40.000Z
Macquarie University,@Macquarie_Uni,https://pbs.twimg.com/media/FCmCE8BWQAQ67yi?format=jpg&name=small,2,3,,,https://x.com/Macquarie_Uni/status/1452835381699923984,https://x.com/Macquarie_Uni,"There's no national plan to address #health impacts of #climatechange, despite the increasing pressure from an increasingly warming #climate and ongoing calls for a climate-health strategy, finds the 2021 MJA-Lancet Countdown report:
https://macq.it/3vNyf2m

#auspol","Oct 26, 2021",2021-10-26T03:12:02.000Z
Dr Wesley Morgan,@wtmpacific,,,7,,,https://x.com/wtmpacific/status/1449938883978743809,https://x.com/wtmpacific,"If it helps, think of it less as 'securitising' climate, and more as 'climatising' security. How does Australia pursue national security in a warming world, and in midst of a global energy transition, when climate & energy policy is a key dynamic of statecraft for major powers?","Oct 18, 2021",2021-10-18T03:22:23.000Z
This earth is tired. So am I.,@fladdle,,,,,,https://x.com/fladdle/status/1451084784852033536,https://x.com/fladdle,"“The two things required here is the ambition, and the urgency,” he said, describing Australia’s 2030 emissions reduction goal as “shameful”. $1.5 BILLION.  https://afr.com/policy/energy-and-climate/mike-and-annie-cannon-brookes-pledge-1-5b-to-limit-global-warming-20211019-p591d7…","Oct 21, 2021",2021-10-21T07:15:47.000Z
Australia Beyond Coal,@AusBeyondCoal,,,,,,https://x.com/AusBeyondCoal/status/1424987094317891584,https://x.com/AusBeyondCoal,"The bad news: Australia is likely to be one of the countries hardest hit by climate impacts in the next decades. 

The good news: we are one of the countries best-placed to switch to clean, renewable energy and start drastically cutting emissions now https://bit.ly/2X7TLBr","Aug 10, 2021",2021-08-10T06:52:52.000Z
ANU Media,@ANUmedia,,,2,,,https://x.com/ANUmedia/status/1435847645931708418,https://x.com/ANUmedia,"""The handwriting's on the wall economically. This is where we're going globally."" 

There are vast opportunities for Australia to export renewable energy and move away from coal, says #ANUExpert Will Steffen.

@ANU_ICEDS @ANUFennerSchool 
https://abc.net.au/news/science/2021-09-09/climate-change-global-warming-coal-gas-oil-extraction-emissions/100438206…","Sep 9, 2021",2021-09-09T06:08:50.000Z
Macquarie University,@Macquarie_Uni,"https://pbs.twimg.com/media/FCmCE8BWQAQ67yi?format=jpg&name=small, https://pbs.twimg.com/media/FCmCE8BWQAQ67yi?format=jpg&name=small",2,3,,,https://x.com/Macquarie_Uni/status/1452835381699923984,https://x.com/Macquarie_Uni,"There's no national plan to address #health impacts of #climatechange, despite the increasing pressure from an increasingly warming #climate and ongoing calls for a climate-health strategy, finds the 2021 MJA-Lancet Countdown report:
https://macq.it/3vNyf2m

#auspol","Oct 26, 2021",2021-10-26T03:12:02.000Z
Dr Wesley Morgan,@wtmpacific,,,7,,,https://x.com/wtmpacific/status/1449938883978743809,https://x.com/wtmpacific,"If it helps, think of it less as 'securitising' climate, and more as 'climatising' security. How does Australia pursue national security in a warming world, and in midst of a global energy transition, when climate & energy policy is a key dynamic of statecraft for major powers?","Oct 18, 2021",2021-10-18T03:22:23.000Z
This earth is tired. So am I.,@fladdle,,,,,,https://x.com/fladdle/status/1451084784852033536,https://x.com/fladdle,"“The two things required here is the ambition, and the urgency,” he said, describing Australia’s 2030 emissions reduction goal as “shameful”. $1.5 BILLION.  https://afr.com/policy/energy-and-climate/mike-and-annie-cannon-brookes-pledge-1-5b-to-limit-global-warming-20211019-p591d7…","Oct 21, 2021",2021-10-21T07:15:47.000Z
Australia Beyond Coal,@AusBeyondCoal,,,,,,https://x.com/AusBeyondCoal/status/1424987094317891584,https://x.com/AusBeyondCoal,"The bad news: Australia is likely to be one of the countries hardest hit by climate impacts in the next decades. 

The good news: we are one of the countries best-placed to switch to clean, renewable energy and start drastically cutting emissions now https://bit.ly/2X7TLBr","Aug 10, 2021",2021-08-10T06:52:52.000Z
ANU Media,@ANUmedia,,,2,,,https://x.com/ANUmedia/status/1435847645931708418,https://x.com/ANUmedia,"""The handwriting's on the wall economically. This is where we're going globally."" 

There are vast opportunities for Australia to export renewable energy and move away from coal, says #ANUExpert Will Steffen.

@ANU_ICEDS @ANUFennerSchool 
https://abc.net.au/news/science/2021-09-09/climate-change-global-warming-coal-gas-oil-extraction-emissions/100438206…","Sep 9, 2021",2021-09-09T06:08:50.000Z
Australia Beyond Coal,@AusBeyondCoal,,4,2,,,https://x.com/AusBeyondCoal/status/1404682273702567939,https://x.com/AusBeyondCoal,"The sooner we start reducing our carbon emissions the more chance we have to prevent further warming and catastrophic climate change. That's why we must take action now, starting with closing coal and replacing it with clean, renewable energy by 2030. https://abc.net.au/news/2021-06-15/acting-now-can-buy-us-time-on-climate-change/100020944…","Jun 15, 2021",2021-06-15T06:08:46.000Z
Fridays For Future Australia,@FFF_Aus,,1,3,,,https://x.com/FFF_Aus/status/1388305212230627338,https://x.com/FFF_Aus,"‘…the biggest barrier to change is the will of our politicians to take serious #climate action.’

Ain’t that the truth!

#SaintScotty too busy starting war
⁦@The_NewLiberals⁩ ⁦@AusGreensParty⁩ ⁦@350Australia⁩ ⁦@XR_BSE⁩ @aycc
 https://newyorker.com/news/annals-of-a-warming-planet/renewable-energy-is-suddenly-startlingly-cheap…","May 1, 2021",2021-05-01T01:32:10.000Z
GEE Energy,@gee_energy_aus,"https://pbs.twimg.com/media/FJqiFjfVkAEDQQK?format=jpg&name=small, https://pbs.twimg.com/media/FJqiFjfVkAEDQQK?format=jpg&name=small",4,7,,,https://x.com/gee_energy_aus/status/1484677245536923649,https://x.com/gee_energy_aus,"Receive a Feed-in Tariff for any excess power generated by your #solarsystem that is fed back to the grid! Get an obligation-free quote today! Call us on 1300 707 042 or Mail us on info@gee.com.au.

 #renewableenergy #australia #greenenergy #renewable #renewable #feedintarrif","Jan 22, 2022",2022-01-22T00:00:13.000Z
VoltaRocks,@VoltaRocksApp,"https://pbs.twimg.com/media/GD1v89NWcAIDL-z?format=jpg&name=small, https://pbs.twimg.com/media/GD1v89NWcAIDL-z?format=jpg&name=small",1,1,,36,https://x.com/VoltaRocksApp/status/1746675324878766234,https://x.com/VoltaRocksApp,"#SouthAustralia, here is an awesome Factsheet how to get value for your renewable and feed-in tariff!

https://vbt.io/goto/7t7G 

#AER #FactSheet #Renewable",Jan 15,2024-01-14T23:27:03.000Z
Australian Solar and Renewable Energy News,@AusSolarNews,,,,,14,https://x.com/AusSolarNews/status/1806427660144308539,https://x.com/AusSolarNews,Western Australia’s Solar Feed-In Tariff Dropping Again https://solarquotes.com.au/blog/wa-solar-tariff-rates-mb2952/?utm_source=SPS&utm_medium=TwitterAUsolarnews… #SustainablePower #SolarPV,Jun 28,2024-06-27T20:41:30.000Z
Australian Solar and Renewable Energy News,@AusSolarNews,,,1,,,https://x.com/AusSolarNews/status/1333277892214726656,https://x.com/AusSolarNews,Why Your Solar Feed-In Tariff Is Lower Than Your Electricity Usage Tariff - https://solarquotes.com.au/blog/solar-electricity-bill-breakdown/?utm_source=SPS… #climateaction #solarpowersystems #windenergy #energy #Australia,"Nov 30, 2020",2020-11-30T05:13:15.000Z
Maggie Atlas,@maggieatlas,,,,,,https://x.com/maggieatlas/status/1397841458225315841,https://x.com/maggieatlas,"RD 661/2007 introduced a feed-in-tariff (FIT) mechanism for renewable energy producers, amongst other incentives.  In 2012, Spain made certain legislative changes which eliminated the right4the Claimants to receive a FIT  https://mccullough.com.au/2020/03/25/federal-court-australia-enforces-icsid-awards-kingdom-of-spain/…
@WilkieMP @ABCaustralia @SatPaper","May 27, 2021",2021-05-27T09:05:48.000Z
Suzanne Newnham,@SuzanneNewnham,,,,,,https://x.com/SuzanneNewnham/status/1339390972807979011,https://x.com/SuzanneNewnham,EnergyAustralia reducing renewables' feed-in tariff -not enough people using electricity @ peak rate! EA won't need to buy as much from traditional sources - will EA build renewable to grid capabilities w those & reduced tariff savings? @EnergyAustralia,"Dec 17, 2020",2020-12-17T02:04:27.000Z
Quotified,@quotifiedcomau,,,,,,https://x.com/quotifiedcomau/status/1072774659874144261,https://x.com/quotifiedcomau,Solar feed-in tariff comparison shows EnergyAustralia in Vic on top - Energy Matters https://energymatters.com.au/renewable-news/solar-feed-in-tariff-comparison-victoria/… #ezyquotes #solar #australia,"Dec 12, 2018",2018-12-12T08:46:24.000Z
Leith Mudge,@lmudge,"https://pbs.twimg.com/media/FgMXEosX0AAMNGQ?format=jpg&name=small, https://pbs.twimg.com/media/FgMXEosX0AAMNGQ?format=jpg&name=small",,,,,https://x.com/lmudge/status/1586136863751938048,https://x.com/lmudge,"On Friday a new record was set with 68.7% renewables in Australia’s main energy grid - the national grid! I continue to support Council pushing forward towards carbon neutral by 2024-25, a large component of which will be self-generation from solar panels on roofs of council…","Oct 29, 2022",2022-10-28T23:24:31.000Z
subtleties & niceties,@anothermarxist2,,2,,,,https://x.com/anothermarxist2/status/1527107652576505856,https://x.com/anothermarxist2,"“…neither Labor nor the Coalition offer voters a genuine plan and policy mechanism – such as economy-wide revenue neutral carbon price – to help Australia make the transition to the low carbon future in the most efficient, least-cost way.”","May 19, 2022",2022-05-19T02:03:31.000Z
Commodity Insights Energy Transition,@SPGCIEnergy,"https://pbs.twimg.com/media/FGQreS7WYAUJuq8?format=jpg&name=small, https://pbs.twimg.com/media/FGQreS7WYAUJuq8?format=jpg&name=small",2,4,,,https://x.com/SPGCIEnergy/status/1469347179999420418,https://x.com/SPGCIEnergy,"Platts launches global #carbon-neutral #hydrogen price assessments | https://okt.to/xAYESo

*US, Australia cheapest at $1.70-$3.45/kg
*Assessment impartial between production pathways
*Reflects hydrogen of 99.99% purity in 20 mt lots","Dec 11, 2021",2021-12-10T16:44:01.000Z
ECOWORLD AUSTRALIA,@ecoshow,,,,,14,https://x.com/ecoshow/status/1641784837714640902,https://x.com/ecoshow,Renewably Catalysed Liquid Methanol would actually be carbon neutral as long as the energy input was from 100% renewables and the carbon was taken from the atmosphere https://youtu.be/3sUug1kfNps,"Mar 31, 2023",2023-03-31T12:49:42.000Z
SarahJBuckley,@SarahJBuckley,,1,,,,https://x.com/SarahJBuckley/status/1585406842439897088,https://x.com/SarahJBuckley,“ sport has a real opportunity to focus on a carbon-neutral future by ensuring they only work with organisations that are moving to renewables or are already renewable energy sources.” https://theguardian.com/australia-news/2022/oct/27/fossil-fuel-companies-sponsor-australian-sports-to-the-tune-of-14m-18m-a-year-researchers-find?CMP=Share_iOSApp_Other…,"Oct 27, 2022",2022-10-26T23:03:41.000Z
Richard Denniss,@RDNS_TAI,https://pbs.twimg.com/ext_tw_video_thumb/1782298936360984576/pu/img/b0R1R8wUyw8B3CfJ.jpg,197,375,13,12K,https://x.com/RDNS_TAI/status/1782563097154318491,https://x.com/RDNS_TAI,In Australia our ‘climate policies’ make it cheaper for companies to buy dodgy offsets and claim to be ‘carbon neutral’ than to invest in energy efficiency or renewables. It’s state sponsored greenwash and it’s not based on science or economics #auspol #climate,Apr 23,2024-04-23T00:12:15.000Z
Will Dawson - LNG TV | Alchemy Energy Partners,@WillDawsonLNG,,1,,,,https://x.com/WillDawsonLNG/status/1453294313824264198,https://x.com/WillDawsonLNG,"Interesting insights from Sarah Bairstow, Chief Commercial Officer at LNG company Mexico Pacific Limited. said Europe may have an appetite for carbon-neutral LNG but in Asia, a price-sensitive market, that appetite was less apparen…https://lnkd.in/dbEPpjjX","Oct 27, 2021",2021-10-27T09:35:39.000Z
Bendigo Tech School,@BendigoTS,"https://pbs.twimg.com/media/FcvLXH7WAAEYw8F?format=jpg&name=small, https://pbs.twimg.com/media/FcvLXH7WAAEYw8F?format=jpg&name=small",2,3,,,https://x.com/BendigoTS/status/1570572495232679943,https://x.com/BendigoTS,"Our next Tech Futures is here & you won't want to miss it!  

Taryn Lane from @hepburn_energy Australia's first community-owned cooperative wind farm, will discuss the journey of transition toward a carbon neutral community.

29 Sept, 5.30pm. Register: http://bit.ly/3BvmhyO","Sep 16, 2022",2022-09-16T00:37:17.000Z
Energy by S&P Global,@SP_GlobalNews,,,,,,https://x.com/SP_GlobalNews/status/1511977331400888320,https://x.com/SP_GlobalNews,"With operators globally striving for #carbon neutral status, carbon management is essential. As #gas supply to Australia’s Darwin LNG plant transitions from one field to another, an opportunity for cleaner #energy arises. 

Read more: http://ow.ly/2Lp050IAW8r","Apr 7, 2022",2022-04-07T08:01:01.000Z
Daniel M Kammen,@dan_kammen,"https://pbs.twimg.com/media/FauA-E6VEAAzxR7?format=jpg&name=small, https://pbs.twimg.com/media/FauA-E6VEAAzxR7?format=jpg&name=small",6,15,2,,https://x.com/dan_kammen/status/1561484722663870464,https://x.com/dan_kammen,"Welcome to the 'club', @Australia! California reached 104% of demand met by renewables in April 2022 (data from @California_ISO)
 
If we can do it (briefly) in 2022, we can be 100% clean energy by 2030

@Prof_MPastor & I made the case in the @sfchronicle:

https://sfchronicle.com/opinion/openforum/article/Carbon-neutral-isn-t-good-enough-California-16351149.php…","Aug 22, 2022",2022-08-21T22:45:43.000Z
Sky News Australia,@SkyNewsAust,,1,1,5,,https://x.com/SkyNewsAust/status/1452882595981586436,https://x.com/SkyNewsAust,"Energy Minister Angus Taylor says there are “opportunities” for many regional communities in the transition to a carbon-neutral economy.

https://skynews.com.au/australia-news/politics/opportunities-for-many-regional-communities-in-net-zero-says-energy-minister/video/456b60e4aa5b25ce282f4d4e929dd5f6…","Oct 26, 2021",2021-10-26T06:19:38.000Z
Steven Noble,@steven_noble,,2,23,4,4.4K,https://x.com/steven_noble/status/1657857745742331904,https://x.com/steven_noble,"“South Korea will be powered solely by renewables by 2050” — do your homework, ⁦@abcnews⁩. South Korea’s energy policy is to be 100% carbon neutral by 2050. With the important role that nuclear plays there, it might actually reach that target.","May 15, 2023",2023-05-14T21:17:42.000Z
Argus Media,@ArgusMedia,https://pbs.twimg.com/ext_tw_video_thumb/1414792963264290821/pu/img/pwHs7PF8I-I1KclV.jpg,2,3,,,https://x.com/ArgusMedia/status/1414792994365059076,https://x.com/ArgusMedia,"News story: Japanese upstream firm @inpexaustralia has received the first carbon-neutral LNG cargo from its 8.9mn t/yr Ichthys project in Australia, part of its strategy.. | #LNG 

By #ArgusEmissions: https://okt.to/lRqXpi

#Energytransition hub: https://okt.to/e5JOtX","Jul 13, 2021",2021-07-13T03:45:10.000Z
Canadian Solar,@Canadian_Solar,https://pbs.twimg.com/media/E1jOMf8X0AQyeaj?format=jpg&name=small,1,4,,,https://x.com/Canadian_Solar/status/1394090801970491395,https://x.com/Canadian_Solar,"We are proud to support @WWF_Australia in their effort to make #Australia become a renewable energy superpower. It would mean ensuring Australia is on the road to becoming carbon neutral for future generations.  Visit http://wwf.org.au/Renew 

#UnitedWeShine #MakeTheDifference","May 17, 2021",2021-05-17T00:42:02.000Z
Argus Media,@ArgusMedia,"https://pbs.twimg.com/ext_tw_video_thumb/1414792963264290821/pu/img/pwHs7PF8I-I1KclV.jpg, https://pbs.twimg.com/ext_tw_video_thumb/1414792963264290821/pu/img/pwHs7PF8I-I1KclV.jpg, https://pbs.twimg.com/ext_tw_video_thumb/1414792963264290821/pu/img/pwHs7PF8I-I1KclV.jpg",2,3,,,https://x.com/ArgusMedia/status/1414792994365059076,https://x.com/ArgusMedia,"News story: Japanese upstream firm @inpexaustralia has received the first carbon-neutral LNG cargo from its 8.9mn t/yr Ichthys project in Australia, part of its strategy.. | #LNG 

By #ArgusEmissions: https://okt.to/lRqXpi

#Energytransition hub: https://okt.to/e5JOtX","Jul 13, 2021",2021-07-13T03:45:10.000Z
Canadian Solar,@Canadian_Solar,"https://pbs.twimg.com/media/E1jOMf8X0AQyeaj?format=jpg&name=small, https://pbs.twimg.com/media/E1jOMf8X0AQyeaj?format=jpg&name=small",1,4,,,https://x.com/Canadian_Solar/status/1394090801970491395,https://x.com/Canadian_Solar,"We are proud to support @WWF_Australia in their effort to make #Australia become a renewable energy superpower. It would mean ensuring Australia is on the road to becoming carbon neutral for future generations.  Visit http://wwf.org.au/Renew 

#UnitedWeShine #MakeTheDifference","May 17, 2021",2021-05-17T00:42:02.000Z
sipawe,@sipawe,,2,3,,,https://x.com/sipawe/status/1263244592469512192,https://x.com/sipawe,"Morrison plans nuclear options rather than support rapid expansion of renewable energy and a transition to a sustainable carbon neutral economy. All because of climate change deniers & vested fossil fuel interests in LNP. 
We can do better.
https://theguardian.com/australia-news/2020/may/21/new-nuclear-technologies-to-be-examined-in-planning-australias-energy-mix?CMP=share_btn_tw…","May 21, 2020",2020-05-20T23:05:55.000Z
Annette Schneider For Climate Action,@trainspeedhump,,,,,,https://x.com/trainspeedhump/status/1555358455158165505,https://x.com/trainspeedhump,"""Analysts have warned Australia’s coal mines could be leaking twice as much methane as is reported. 
“By putting more coal on the market, we block ourselves from the opportunities in the transition to green energy.”
https://theguardian.com/environment/commentisfree/2022/jul/28/albanese-parrots-a-pro-coal-talking-point-as-ampol-offers-carbon-neutral-petrol?CMP=share_btn_tw…","Aug 5, 2022",2022-08-05T01:02:07.000Z
Solutions Australia,@solutions_au,,1,3,,157,https://x.com/solutions_au/status/1606068112927096836,https://x.com/solutions_au,"This.

""[@LiberalAus] did not do enough work to explain to voters how it intended to transition the economy and energy system to a carbon-neutral reality. It also refused to adopt a more ambitious target for 2030.""

Spot on editorial on election review.
https://bit.ly/3Wp8WQv","Dec 23, 2022",2022-12-22T23:24:12.000Z
Josh Lewis,@_Josh_Lewis_,,2,,,,https://x.com/_Josh_Lewis_/status/1364051083379634176,https://x.com/_Josh_Lewis_,"Australia-listed company @OilSearchLtd is the latest oil and gas player to pledge to reach net zero by 2050. Read more over at @UpstreamOnline 

https://upstreamonline.com/energy-transition/net-zero-goal-oil-search-latest-oil-player-to-pledge-to-be-carbon-neutral-by-2050/2-1-967960…

#NetZero #energy #EnergyTransition #climate #ClimateAction #Oil #ClimateEmergency #upstream","Feb 23, 2021",2021-02-23T03:14:55.000Z
Timjbo,@Tim_jbo,https://pbs.twimg.com/ext_tw_video_thumb/1838539207398281216/pu/img/XoJ0VKRfA3clUyvQ.jpg,,8,,201,https://x.com/Tim_jbo/status/1838550635316424905,https://x.com/Tim_jbo,"Government's renewable energy investment a disaster and the numbers prove it.

Australia is a good example: wherever wind & solar have been put in you see that the cost of electricity has been rising since 2021, and it's still going' Steve Goreham #CSCA watch#ClimateScam",Sep 24,2024-09-24T12:06:44.000Z
Australian Solar and Renewable Energy News,@AusSolarNews,,,2,1,27,https://x.com/AusSolarNews/status/1838756438929293607,https://x.com/AusSolarNews,"Dutton’s nuclear plan extends coal use, cost unknown https://pv-magazine-australia.com/2024/09/25/duttons-nuclear-plan-extends-coal-use-cost-unknown/?utm_source=SPS&utm_medium=TwitterAUsolarnews… #SolarFuture #RenewablePower",Sep 25,2024-09-25T01:44:32.000Z
GGee,@22thinkinggirl,"https://pbs.twimg.com/media/GYHflrebkAAMRr3?format=jpg&name=small, https://pbs.twimg.com/media/GYHflrebkAAMRr3?format=jpg&name=small",,5,,80,https://x.com/22thinkinggirl/status/1837995979888636232,https://x.com/22thinkinggirl,"Australia’s energy future should be about nation building for future generations. 

Labor needs  to come clean today and tell us how much its renewable policy will cost, how any billions will be paid to overseas companies, land owners, RE millionaires and BloombergNEF estimate of",Sep 23,2024-09-22T23:22:44.000Z
Fuel Cells Works,@fuelcellsworks,"https://pbs.twimg.com/media/GYaNXMmbcAAcEQy?format=jpg&name=small, https://pbs.twimg.com/media/GYaNXMmbcAAcEQy?format=jpg&name=small",2,7,,376,https://x.com/fuelcellsworks/status/1839312929964933607,https://x.com/fuelcellsworks,"Stegra, the green steel innovation leader, bypasses Australia for expansion despite its renewable energy advantages. Will Australia miss its chance to lead in green steel?

https://fcw.sh/ztmRUR

#GreenSteel #RenewableEnergy #H2 #HydrogenNow #GreenH2",Sep 27,2024-09-26T14:35:49.000Z
Induna,@FreeInduna,"https://pbs.twimg.com/media/GMp0-SyWoAEV5QN?format=jpg&name=small, https://pbs.twimg.com/media/GMp0-SyWoAEV5QN?format=jpg&name=small",3,4,1,174,https://x.com/FreeInduna/status/1786369832474050940,https://x.com/FreeInduna,"The price of energy has been surging to $474/MWh in South Australia, heralded for having their highest renewable energy mix.

That's like Eskom charging R6,000/MWh.

The opportunity cost of ""cheap renewable energy"".",May 3,2024-05-03T12:18:51.000Z
Clean Energy Council,@cleannrgcouncil,"https://pbs.twimg.com/ext_tw_video_thumb/1749569186148556800/pu/img/zQNufOKkMW-3FJSO.jpg, https://pbs.twimg.com/ext_tw_video_thumb/1749569186148556800/pu/img/zQNufOKkMW-3FJSO.jpg, https://pbs.twimg.com/ext_tw_video_thumb/1749569186148556800/pu/img/zQNufOKkMW-3FJSO.jpg",1,1,1,317,https://x.com/cleannrgcouncil/status/1749575344057983175,https://x.com/cleannrgcouncil,"Given the pressing concerns about the cost of living in Australia, it is crucial to recognise that renewable energy is the most cost-effective power option for Australians.",Jan 23,2024-01-22T23:30:42.000Z
Rainforest Reserves Australia,@RainforestsAus,"https://pbs.twimg.com/media/FxvpgRqaMAICrAy?format=jpg&name=small, https://pbs.twimg.com/media/FxvpgRqaMAICrAy?format=jpg&name=small",41,80,7,1.9K,https://x.com/RainforestsAus/status/1665181233465417729,https://x.com/RainforestsAus,"The environment movement is entirely captured by the push to ""renewable"" energy at any cost. Biodiversity is collateral. We're told to ""suck it up"" by those that want to locate wind developments on remnant habitat in FNQ. What about our wildlife, our ecosystems?","Jun 4, 2023",2023-06-04T02:18:38.000Z
Bruce Robertson,@barobertson111,,2,,2,154,https://x.com/barobertson111/status/1803932179988386294,https://x.com/barobertson111,"The Clean Energy Investor Group warns that

""Building a nuclear industry from scratch was incompatible with a “timely and cost-efficient” energy transition, ""

Looks like Australia will experience a #nuclear winter on new renewable energy investment",Jun 21,2024-06-20T23:25:21.000Z
TrueNorth,@TrueNorthNewsAU,"https://pbs.twimg.com/media/GLuv40hWIAAp54x?format=jpg&name=small, https://pbs.twimg.com/media/GLuv40hWIAAp54x?format=jpg&name=small",15,36,1,1.5K,https://x.com/TrueNorthNewsAU/status/1782211516567011370,https://x.com/TrueNorthNewsAU,"In a net-zero world, the cost that matters will be energy, specifically renewable energy, and in that Australia has about the lowest costs, and can compete with China and the Middle East on an equal footing. 

Alan Kohler for The New Daily #auspol > https://loom.ly/c720-sI",Apr 22,2024-04-22T00:55:12.000Z
Morocco in Australia,@moroccoinaussie,"https://pbs.twimg.com/media/Fv6NaNLacAAy29z?format=jpg&name=small, https://pbs.twimg.com/media/Fv6NaNLacAAy29z?format=jpg&name=small",1,5,,345,https://x.com/moroccoinaussie/status/1656917226216357889,https://x.com/moroccoinaussie,"Last week the Ambassador met with Australian business leaders from a variety of sectors, as well as the diplomatic community at the ABSC’s annual gala dinner. It was a great opportunity to showcase Morocco’s dedication to innovation, trade, and renewable energy, amongst others.","May 12, 2023",2023-05-12T07:00:25.000Z
Helen Polley,@polley_helen,"https://pbs.twimg.com/ext_tw_video_thumb/1790630176109514753/pu/img/MadBb7KjE43Usn2M.jpg, https://pbs.twimg.com/ext_tw_video_thumb/1790630176109514753/pu/img/MadBb7KjE43Usn2M.jpg, https://pbs.twimg.com/ext_tw_video_thumb/1790630176109514753/pu/img/MadBb7KjE43Usn2M.jpg",4,8,3,463,https://x.com/polley_helen/status/1790630226864824757,https://x.com/polley_helen,"A Future Made in Australia  means more Australian jobs, a plan to ease the cost of living, renewable energy investment and cheaper energy in the long term #FuturemadeAustralia #Budget24 #auspol #politas @AustralianLabor",May 15,2024-05-15T06:28:09.000Z
Jennifer Game,@JenniferGame6,"https://pbs.twimg.com/media/GVGLVYvakAAp65D?format=jpg&name=small, https://pbs.twimg.com/media/GVGLVYvakAAp65D?format=jpg&name=small",20,41,5,828,https://x.com/JenniferGame6/status/1824392529292460343,https://x.com/JenniferGame6,"Not one wind farm in South Australia was built without subsidies, in the form of Large Scale Renewable Energy Certificates- created  by law & issued by wind & solar farms, bought by electricity retailers + the cost passed onto your bill ⁦@OneNationAus⁩ #auspol #climatescam",Aug 16,2024-08-16T10:27:29.000Z
